17,28,29,42,49,50,1,40,3610
11,22,23,36,52,59,0,44,3217
1,10,13,20,42,50,0,114,7058
1,3,4,28,45,53,0,62,5405
22,35,38,39,41,59,0,52,4408
5,15,19,26,27,33,1,198,13086
5,6,23,26,27,53,0,78,5646
6,23,29,39,51,60,0,111,6978
1,27,33,35,51,55,0,182,11797
3,5,10,28,46,60,0,239,17413
2,7,11,16,40,44,0,306,20677
9,16,21,34,41,60,0,217,15462
17,22,43,46,55,59,0,366,24849
14,23,24,25,26,51,0,352,31164
6,36,41,44,48,58,0,397,39365
17,27,34,42,43,46,1,1200,90235
4,15,31,38,41,53,0,61,5485
5,10,21,32,40,42,0,304,21481
1,3,5,23,41,58,1,383,30477
1,26,28,41,54,60,0,53,4403
4,11,12,19,43,49,0,190,11415
25,28,32,33,42,43,0,106,7456
3,9,17,32,37,44,1,339,13819
7,9,14,17,24,32,0,182,10493
5,12,15,19,29,52,0,128,8720
1,8,18,23,35,40,0,125,7134
10,16,37,50,52,57,1,34,3143
12,15,19,34,44,51,2,186,13027
5,20,22,30,35,55,1,77,4502
12,24,44,45,49,53,0,65,4279
11,19,29,44,47,55,0,63,5417
29,31,39,41,51,58,0,32,2400
26,32,40,43,46,54,1,71,6014
18,20,26,34,51,56,0,43,3478
3,7,19,24,53,55,0,90,6510
15,23,24,25,47,57,0,72,5232
13,21,26,32,41,52,0,81,5496
20,32,37,38,48,58,0,29,3921
10,20,33,40,45,50,0,164,16680
6,15,29,45,57,59,0,147,9880
3,9,23,30,32,35,3,312,18348
6,12,30,31,35,50,0,54,3769
7,28,37,46,53,58,0,78,4942
14,18,30,35,42,59,4,91,5049
3,27,32,45,49,51,0,159,5820
12,17,40,42,47,54,1,95,4679
23,26,28,36,42,49,0,80,5139
13,14,36,53,55,60,1,125,8067
13,27,43,50,54,58,0,49,3793
5,19,30,48,52,55,0,55,4462
2,6,22,24,28,58,0,163,7780
7,16,18,20,21,44,0,119,7185
2,4,16,21,37,58,0,83,5517
1,2,38,49,50,59,1,78,4123
11,26,27,37,42,48,0,51,3648
13,16,40,43,45,59,0,64,4497
11,13,21,33,39,45,1,121,7685
8,40,41,44,53,56,0,94,5820
16,27,36,42,44,59,0,125,9458
19,22,29,37,41,59,0,124,8807
3,7,24,32,36,45,5,512,21452
